Date,Action,Shares,Balance,Profit
2023-10-20,Buy,290.27636189162854,11508.608629693808,
2023-10-24,Sell,0.0,11612.760392997583,4.151863303775087
2023-10-26,Buy,308.79392278780557,11512.860392997583,
2023-11-03,Sell,0.0,11627.171681773263,14.311388775680555
2023-11-06,Buy,271.2675335205739,11527.271681773263,
2023-11-07,Sell,0.0,11629.684151283947,2.412569510684577
2023-11-09,Buy,296.00327922438976,11529.784151283948,
2023-11-15,Sell,0.0,11661.773409463407,31.989358179459273
2023-11-16,Buy,240.31248535936246,11561.873409463407,
2023-11-21,Sell,0.0,11667.72561588497,5.8523064215622185
2023-11-22,Buy,239.13100708908706,11567.82561588497,
2023-11-28,Sell,0.0,11677.525792177157,9.700276292185904
2023-12-04,Buy,236.5611270808249,11577.625792177158,
2023-12-08,Sell,0.0,11683.892383046894,6.266690869737218
2023-12-12,Buy,233.93696534386933,11583.992383046894,
2023-12-19,Sell,0.0,11699.438753725026,15.446470678130751
2023-12-20,Buy,216.89307448081135,11599.538753725026,
2023-12-27,Sell,0.0,11709.60310663907,10.06445291404296
2024-01-05,Buy,233.06910610141026,11609.70310663907,
2024-01-08,Sell,0.0,11711.786284366799,2.0832777277295094
2024-01-12,Buy,272.1979693580545,11611.8862843668,
2024-01-16,Sell,0.0,11712.60520851655,0.7190241497501546
2024-01-18,Buy,290.5840375035664,11612.70520851655,
2024-01-23,Sell,0.0,11709.870380733433,-2.8347277831170175
2024-01-25,Buy,404.62646828468235,11609.970380733434,
2024-01-30,Sell,0.0,11721.768440834396,11.798160100962278
2024-02-05,Buy,413.3335204605494,11621.868440834396,
2024-02-09,Sell,0.0,11738.780660369443,16.912319535046137
2024-02-13,Buy,397.21826885112006,11638.880660369443,
2024-02-15,Sell,0.0,11760.278689595076,21.39812922563364
2024-02-20,Buy,352.0524710608929,11660.378689595076,
2024-02-22,Sell,0.0,11764.431314642568,4.052725047492245
2024-02-23,Buy,359.5661414904691,11664.531314642569,
2024-02-28,Sell,0.0,11776.314080461309,11.782865818739893
2024-02-29,Buy,321.5697506242509,11676.414080461309,
2024-03-01,Sell,0.0,11777.0229618923,0.6089814309921877
2024-03-06,Buy,440.6314371767135,11677.1229618923,
2024-03-07,Sell,0.0,11779.99989251585,2.8770306235491887
2024-03-08,Buy,448.49515515277466,11680.099892515851,
2024-03-11,Sell,0.0,11783.506700466114,3.4069079502627915
2024-03-14,Buy,554.3531696416865,11683.606700466114,
2024-03-18,Sell,0.0,11804.137340961215,20.530740495100062
2024-03-19,Buy,477.0137464847408,11704.237340961216,
2024-03-20,Sell,0.0,11810.888627419416,6.651386458200747
2024-03-22,Buy,480.73986387010603,11710.988627419416,
2024-03-27,Sell,0.0,11825.107248891338,14.118721471922143
2024-03-28,Buy,445.513600025157,11725.207248891338,
2024-04-01,Sell,0.0,11824.16696967005,-1.0401792212877297
2024-04-05,Buy,530.9298539575271,11724.26696967005,
2024-04-08,Sell,0.0,11838.263989665258,13.997119995207441
2024-04-10,Buy,473.7168575833082,11738.363989665258,
2024-04-11,Sell,0.0,11842.616390309515,4.252500644256045
2024-04-18,Buy,720.9375437395275,11742.716390309515,
2024-04-24,Sell,0.0,11871.623891864321,28.907601554806305
2024-04-26,Buy,501.0270123559696,11771.723891864322,
2024-04-29,Sell,0.0,11914.236265866666,42.5124740023447
2024-05-01,Buy,419.4854684934903,11814.336265866667,
2024-05-07,Sell,0.0,11911.110006308609,-3.226159558057617
2024-05-10,Buy,499.5330777269335,11811.210006308609,
2024-05-14,Sell,0.0,11926.020625598187,14.81071928957796
2024-05-15,Buy,457.68417152646344,11826.120625598187,
2024-05-21,Sell,0.0,11945.020424912977,18.89989931479036
2024-05-23,Buy,459.4273316520928,11845.120424912977,
2024-05-24,Sell,0.0,11953.282811495925,8.162486582948702
