Date,Action,Shares,Balance,Profit,Initial Balance,Final Balance,Total Profit,Percentage Change,Number of Trades,Buy Signals,Sell Signals
2022-09-15 00:00:00,Buy,368.04378307007977,1088.7631438474555,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-09-16 00:00:00,Sell,0.0,1191.7675628260065,3.004518978551104,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-09-20 00:00:00,Buy,409.9536013162678,1091.8675628260064,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-09-21 00:00:00,Sell,0.0,1194.8229483819957,2.955485555989327,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-09-28 00:00:00,Buy,697.4158905444918,1094.9229483819956,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-09-29 00:00:00,Sell,0.0,1178.8568569281592,-16.065991453836432,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-09-30 00:00:00,Buy,923.143077546962,1078.9568569281591,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-10-04 00:00:00,Sell,0.0,1240.9176294632284,61.9608725350694,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-10-11 00:00:00,Buy,1104.3071839650777,1141.0176294632283,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-10-12 00:00:00,Sell,0.0,1248.913059250885,7.895529787656756,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-10-14 00:00:00,Buy,1606.3240278832118,1149.013059250885,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-10-18 00:00:00,Sell,0.0,1274.8405917003954,25.82763244951049,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-10-21 00:00:00,Buy,2497.2874574074117,1174.9405917003953,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-10-28 00:00:00,Sell,0.0,1417.1328726737545,142.19238097335918,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-10-31 00:00:00,Buy,1328.0794959736224,1317.2328726737544,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-11-01 00:00:00,Sell,0.0,1420.8828046036742,3.650031929919919,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-11-03 00:00:00,Buy,2000.8030855483858,1320.9828046036741,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-11-04 00:00:00,Sell,0.0,1437.888949017193,16.90624441351889,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-11-07 00:00:00,Buy,2175.908489623314,1337.988949017193,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-11-10 00:00:00,Sell,0.0,1715.7244286693235,277.7355796521307,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-11-14 00:00:00,Buy,628.3007648623347,1615.8244286693234,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-11-17 00:00:00,Sell,0.0,1732.6044183873826,16.78008971805923,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-11-21 00:00:00,Buy,598.7618025306361,1632.7044183873825,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-11-28 00:00:00,Sell,0.0,1756.7297820753365,24.025463687954115,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-11-29 00:00:00,Buy,524.7059624921424,1656.8297820753364,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-12-02 00:00:00,Sell,0.0,1801.6281069499607,44.79842487462439,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-12-05 00:00:00,Buy,420.7427905335583,1701.7281069499606,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-12-06 00:00:00,Sell,0.0,1807.2097415443097,5.4817345943491205,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-12-13 00:00:00,Buy,357.71772275766256,1707.3097415443096,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-12-15 00:00:00,Sell,0.0,1811.7720807447536,4.462439200443981,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-12-28 00:00:00,Buy,571.9343927368244,1711.8720807447535,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-12-29 00:00:00,Sell,0.0,1819.5199535067015,7.647972761948083,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2022-12-30 00:00:00,Buy,572.7913065855398,1719.6199535067014,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-01-04 00:00:00,Sell,0.0,1841.7369815724426,22.117128065741113,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-01-05 00:00:00,Buy,493.8900130174961,1741.8369815724425,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-01-09 00:00:00,Sell,0.0,1878.1270446984165,36.29016312597406,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-01-10 00:00:00,Buy,387.8303272869957,1778.2270446984164,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-01-12 00:00:00,Sell,0.0,1901.0962426903986,22.86929799198232,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-01-17 00:00:00,Buy,339.02336202072416,1801.1962426903985,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-01-18 00:00:00,Sell,0.0,1917.0359983570988,15.839855666700217,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-01-23 00:00:00,Buy,324.7689898166747,1817.1359983570987,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-01-25 00:00:00,Sell,0.0,1920.8947162154232,3.758817858324363,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-01-30 00:00:00,Buy,343.7612806022055,1820.994716215423,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-02-02 00:00:00,Sell,0.0,1939.922750084457,18.92813386903393,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-02-10 00:00:00,Buy,430.20113646125145,1840.022750084457,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-02-13 00:00:00,Sell,0.0,1940.796727054581,0.7740769701240566,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-02-14 00:00:00,Buy,468.4784095763421,1840.8967270545809,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-02-15 00:00:00,Sell,0.0,1938.9716019912053,-1.9250250633756991,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-02-21 00:00:00,Buy,553.8878884735356,1839.0716019912052,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-02-23 00:00:00,Sell,0.0,1943.2602661885999,4.188764197394676,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-02-24 00:00:00,Buy,614.7878146687177,1843.3602661885998,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-02-28 00:00:00,Sell,0.0,1950.6703661845077,7.3101999959079365,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-03-02 00:00:00,Buy,692.8202440295331,1850.7703661845076,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-03-06 00:00:00,Sell,0.0,1969.5715061634805,18.801239978972987,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-03-08 00:00:00,Buy,721.6067840813025,1869.6715061634804,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-03-13 00:00:00,Sell,0.0,2082.8927939300406,113.22138776656031,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-03-14 00:00:00,Buy,384.92597176675554,1982.9927939300405,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-03-15 00:00:00,Sell,0.0,2104.86489596017,21.872202030129344,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-03-21 00:00:00,Buy,343.70937738775615,2004.96489596017,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-03-24 00:00:00,Sell,0.0,2136.796616659694,31.83182069952393,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-03-29 00:00:00,Buy,338.6626663510949,2036.8966166596938,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-04-04 00:00:00,Sell,0.0,2166.17648382361,29.27996716391614,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-04-11 00:00:00,Buy,283.84292604501564,2066.27648382361,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-04-12 00:00:00,Sell,0.0,2169.7339461471106,3.457562323500568,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-04-17 00:00:00,Buy,311.1066816445277,2069.8339461471105,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-04-18 00:00:00,Sell,0.0,2170.853093824127,1.0192476770164234,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-04-20 00:00:00,Buy,297.3697961776878,2070.953093824127,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-04-25 00:00:00,Sell,0.0,2186.8310277805913,15.878033956464336,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-04-27 00:00:00,Buy,285.5329649612599,2086.931027780591,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-04-28 00:00:00,Sell,0.0,2192.630305662113,5.699377881521826,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-05-01 00:00:00,Buy,293.5846734198587,2092.730305662113,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-05-04 00:00:00,Sell,0.0,2213.6208062319133,20.890600569800426,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-05-08 00:00:00,Buy,275.96422210956655,2113.7208062319132,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-05-11 00:00:00,Sell,0.0,2226.875026814022,13.154320582108781,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-05-22 00:00:00,Buy,329.1236879460594,2126.975026814022,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-05-23 00:00:00,Sell,0.0,2228.6176655388354,1.6427387248135403,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-05-25 00:00:00,Buy,375.74039368582135,2128.7176655388353,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-01 00:00:00,Sell,0.0,2253.419495578699,24.70193003986377,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-02 00:00:00,Buy,333.2866868827582,2153.5194955786988,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-05 00:00:00,Sell,0.0,2254.413687128313,0.8942915496145503,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-07 00:00:00,Buy,364.5786143788945,2154.513687128313,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-08 00:00:00,Sell,0.0,2263.5950336886476,9.081446560334456,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-09 00:00:00,Buy,357.0826378771501,2163.6950336886475,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-12 00:00:00,Sell,0.0,2266.302548891319,2.607615202671397,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-13 00:00:00,Buy,389.2924462743112,2166.402548891319,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-14 00:00:00,Sell,0.0,2269.0835815550354,2.681132663716312,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-16 00:00:00,Buy,359.95367813530936,2169.1835815550353,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-20 00:00:00,Sell,0.0,2274.0482977093625,4.864816154327215,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-22 00:00:00,Buy,370.18295566259735,2174.1482977093624,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-26 00:00:00,Sell,0.0,2281.6031033701115,7.454905660749077,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-27 00:00:00,Buy,365.70651651644374,2181.7031033701114,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-28 00:00:00,Sell,0.0,2282.681128913824,0.9781255437125083,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-29 00:00:00,Buy,420.0029780108577,2182.781128913824,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-06-30 00:00:00,Sell,0.0,2286.684024578055,3.9029956642309145,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-07-06 00:00:00,Buy,535.4909606412594,2186.784024578055,,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
2023-07-13 00:00:00,Sell,0.0,2347.6081901723924,60.82426559433736,1000,6556.790031282429,5556.790031282429,555.6790031282428,247,124,123
